,,,,
국가,시작주소,끝주소,프리픽스(/24),할당일자
팔레스타인,95.215.104.0,95.215.107.255,/22,2009.02.27
팔레스타인,193.22.131.0,193.22.131.255,/24,2023.03.07
팔레스타인,43.243.24.0,43.243.27.255,/22,2014.09.08
팔레스타인,103.27.144.0,103.27.147.255,/22,2015.12.11
팔레스타인,45.134.200.0,45.134.201.255,/23,2019.07.29
팔레스타인,45.134.202.0,45.134.203.255,/23,2019.07.29
팔레스타인,103.239.96.0,103.239.99.255,/22,2014.08.04
팔레스타인,43.255.108.0,43.255.111.255,/22,2014.08.04
팔레스타인,24.42.64.0,24.42.127.255,/18,2008.05.23
팔레스타인,103.53.4.0,103.53.7.255,/22,2015.03.18
팔레스타인,103.57.108.0,103.57.111.255,/22,2015.05.15
팔레스타인,113.212.64.0,113.212.67.255,/22,2019.06.13
팔레스타인,144.48.236.0,144.48.239.255,/22,2016.04.21
팔레스타인,182.161.60.0,182.161.63.255,/22,2016.01.12
팔레스타인,203.189.236.0,203.189.239.255,/22,2015.11.13
팔레스타인,193.223.252.0,193.223.253.255,/23,2019.10.16
팔레스타인,193.227.236.0,193.227.237.255,/23,2019.10.16
팔레스타인,45.117.4.0,45.117.7.255,/22,2015.05.13
팔레스타인,5.182.106.0,5.182.106.255,/24,2019.04.05
팔레스타인,1.178.208.0,1.178.223.255,/20,2010.06.25
팔레스타인,185.1.241.0,185.1.241.255,/24,2022.05.06
팔레스타인,66.9.0.0,66.9.31.255,/19,2000.09.12
팔레스타인,188.0.96.0,188.0.127.255,/19,2011.08.18
팔레스타인,103.102.252.0,103.102.255.255,/22,2017.10.25
팔레스타인,103.199.176.0,103.199.179.255,/22,2015.11.10
팔레스타인,103.209.204.0,103.209.207.255,/22,2016.02.22
팔레스타인,115.166.128.0,115.166.131.255,/22,2015.12.15
팔레스타인,45.116.248.0,45.116.251.255,/22,2015.05.13
팔레스타인,59.152.88.0,59.152.95.255,/21,2004.10.11
팔레스타인,43.245.208.0,43.245.211.255,/22,2014.06.04
팔레스타인,103.242.60.0,103.242.63.255,/22,2013.09.12
팔레스타인,103.248.244.0,103.248.247.255,/22,2013.05.27
팔레스타인,43.245.156.0,43.245.159.255,/22,2014.06.03
팔레스타인,103.216.184.0,103.216.187.255,/22,2016.05.02
팔레스타인,5.34.160.0,5.34.167.255,/21,2012.05.11
팔레스타인,5.102.96.0,5.102.127.255,/19,2012.06.27
팔레스타인,5.133.24.0,5.133.31.255,/21,2012.07.04
팔레스타인,37.75.208.0,37.75.215.255,/21,2012.01.31
팔레스타인,37.76.192.0,37.76.223.255,/19,2012.02.01
팔레스타인,5.43.192.0,5.43.223.255,/19,2012.05.22
팔레스타인,37.34.80.0,37.34.95.255,/20,2012.01.04
팔레스타인,5.11.40.0,5.11.47.255,/21,2012.05.02
팔레스타인,37.60.144.0,37.60.151.255,/21,2012.01.18
팔레스타인,46.43.64.0,46.43.127.255,/18,2010.08.16
팔레스타인,31.25.72.0,31.25.79.255,/21,2011.03.03
팔레스타인,31.186.176.0,31.186.183.255,/21,2011.03.25
팔레스타인,37.8.0.0,37.8.127.255,/17,2011.12.13
팔레스타인,46.28.136.0,46.28.143.255,/21,2010.07.22
팔레스타인,46.253.80.0,46.253.95.255,/20,2011.01.07
팔레스타인,46.32.192.0,46.32.223.255,/19,2010.08.20
팔레스타인,31.13.160.0,31.13.167.255,/21,2011.04.19
팔레스타인,46.18.16.0,46.18.23.255,/21,2010.10.23
팔레스타인,62.16.64.0,62.16.79.255,/20,2000.06.13
팔레스타인,85.113.96.0,85.113.127.255,/19,2005.02.09
팔레스타인,85.114.96.0,85.114.127.255,/19,2005.02.22
팔레스타인,37.218.208.0,37.218.223.255,/20,2012.04.02
팔레스타인,46.244.64.0,46.244.95.255,/19,2010.12.28
팔레스타인,46.20.208.0,46.20.223.255,/20,2010.10.14
팔레스타인,82.163.64.0,82.163.71.255,/21,2003.07.25
